tanggal,harga_oz,kurs_oz,idr_oz,harga_gr,kurs_gr,idr_gr,update_asli
18 Mei 2020,"1.730,50 (-893,99)","14.885,01 (-1.276,99)",25.758.510,"55,64","14.885,01","828.155 (-535.583,13)","18 Mei 2020, pukul 23:59"
19 Mei 2020,"1.741,96 (-882,53)","14.823,01 (-1.338,99)",25.821.090,"56,01","14.823,01","830.167 (-533.571,12)","19 Mei 2020, pukul 23:59"
20 Mei 2020,"1.748,23 (-876,26)","14.785,01 (-1.376,99)",25.847.598,"56,21","14.785,01","831.020 (-532.718,88)","20 Mei 2020, pukul 23:59"
21 Mei 2020,"1.725,33 (-899,16)","14.785,01 (-1.376,99)",25.509.021,"55,47","14.785,01","820.134 (-543.604,38)","21 Mei 2020, pukul 23:59"
22 Mei 2020,"1.735,57 (-888,92)","14.785,01 (-1.376,99)",25.660.420,"55,80","14.785,01","825.002 (-538.736,80)","22 Mei 2020, pukul 23:59"
23 Mei 2020,"1.735,45 (-889,04)","14.785,01 (-1.376,99)",25.658.646,"55,80","14.785,01","824.945 (-538.793,84)","23 Mei 2020, pukul 23:59"
24 Mei 2020,"1.735,45 (-889,04)","14.785,01 (-1.376,99)",25.658.646,"55,80","14.785,01","824.945 (-538.793,84)","24 Mei 2020, pukul 23:59"
25 Mei 2020,"1.727,71 (-896,78)","14.785,01 (-1.376,99)",25.544.210,"55,55","14.785,01","821.265 (-542.473,04)","25 Mei 2020, pukul 23:59"
26 Mei 2020,"1.712,49 (-912,00)","14.774,00 (-1.388,00)",25.300.327,"55,06","14.774,00","813.424 (-550.314,05)","26 Mei 2020, pukul 23:59"
27 Mei 2020,"1.707,47 (-917,02)","14.761,01 (-1.400,99)",25.203.982,"54,90","14.761,01","810.327 (-553.411,63)","27 Mei 2020, pukul 23:59"
28 Mei 2020,"1.720,29 (-904,20)","14.769,01 (-1.392,99)",25.406.980,"55,31","14.769,01","816.853 (-546.885,07)","28 Mei 2020, pukul 23:59"
29 Mei 2020,"1.735,31 (-889,18)","14.733,01 (-1.428,99)",25.566.340,"55,79","14.733,01","821.977 (-541.761,55)","29 Mei 2020, pukul 23:59"
30 Mei 2020,"1.729,92 (-894,57)","14.733,01 (-1.428,99)",25.486.929,"55,62","14.733,01","819.424 (-544.314,67)","30 Mei 2020, pukul 23:59"
31 Mei 2020,"1.729,92 (-894,57)","14.733,01 (-1.428,99)",25.486.929,"55,62","14.733,01","819.424 (-544.314,67)","31 Mei 2020, pukul 23:59"
01 Juni 2020,"1.739,22 (-885,27)","14.733,01 (-1.428,99)",25.623.946,"55,92","14.733,01","823.829 (-539.909,47)","01 Juni 2020, pukul 23:59"
02 Juni 2020,"1.725,03 (-899,46)","14.502,00 (-1.660,00)",25.016.385,"55,46","14.502,00","804.295 (-559.443,00)","02 Juni 2020, pukul 23:59"
03 Juni 2020,"1.699,59 (-924,90)","14.245,01 (-1.916,99)",24.210.677,"54,64","14.245,01","778.391 (-585.347,13)","03 Juni 2020, pukul 23:59"
04 Juni 2020,"1.717,65 (-906,84)","14.165,01 (-1.996,99)",24.330.529,"55,22","14.165,01","782.245 (-581.493,77)","04 Juni 2020, pukul 23:59"
05 Juni 2020,"1.682,73 (-941,76)","14.100,00 (-2.062,00)",23.726.493,"54,10","14.100,00","762.824 (-600.913,99)","05 Juni 2020, pukul 23:59"
06 Juni 2020,"1.683,86 (-940,63)","14.100,00 (-2.062,00)",23.742.426,"54,14","14.100,00","763.337 (-600.401,73)","06 Juni 2020, pukul 23:59"
07 Juni 2020,"1.683,86 (-940,63)","14.100,00 (-2.062,00)",23.742.426,"54,14","14.100,00","763.337 (-600.401,73)","07 Juni 2020, pukul 23:59"
