"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"27/12/2024","4,33","4,33","4,33","4,33","","0,00%"
"26/12/2024","4,33","4,33","4,33","4,33","","0,00%"
"24/12/2024","4,33","4,33","4,33","4,33","","0,00%"
"23/12/2024","4,33","4,33","4,33","4,33","","0,00%"
"20/12/2024","4,33","4,33","4,33","4,33","","0,00%"
"19/12/2024","4,33","4,33","4,33","4,33","","-5,46%"
"18/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"17/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"16/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"13/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"12/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"11/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"10/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"09/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"06/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"05/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"04/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"03/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"02/12/2024","4,58","4,58","4,58","4,58","","0,00%"
"29/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"27/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"26/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"25/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"22/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"21/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"20/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"19/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"18/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"15/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"14/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"13/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"12/11/2024","4,58","4,58","4,58","4,58","","0,00%"
"08/11/2024","4,58","4,58","4,58","4,58","","-5,18%"
"07/11/2024","4,83","4,83","4,83","4,83","","0,00%"
