"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"05/02/2025","7.024,23","7.071,58","7.079,46","7.002,52","24,71B","-0,70%"
"04/02/2025","7.073,46","7.051,48","7.125,94","7.037,63","25,07B","0,62%"
"03/02/2025","7.030,06","7.087,75","7.089,70","6.933,14","13,54B","-1,11%"
"31/01/2025","7.109,20","7.113,58","7.174,75","7.095,68","12,56B","0,50%"
"30/01/2025","7.073,48","7.142,79","7.150,29","7.042,69","15,69B","-1,29%"
"24/01/2025","7.166,06","7.255,02","7.261,45","7.166,06","12,22B","-0,92%"
"23/01/2025","7.232,64","7.275,00","7.324,63","7.232,64","14,20B","-0,34%"
"22/01/2025","7.257,13","7.227,02","7.267,49","7.223,26","14,65B","1,05%"
"21/01/2025","7.181,82","7.207,59","7.221,73","7.176,33","17,62B","0,15%"
"20/01/2025","7.170,74","7.188,40","7.201,61","7.165,44","18,31B","0,22%"
"17/01/2025","7.154,66","7.115,05","7.178,81","7.084,30","19,78B","0,66%"
"16/01/2025","7.107,52","7.165,18","7.190,61","7.071,91","14,48B","0,39%"
"15/01/2025","7.079,56","6.992,85","7.084,56","6.977,77","17,35B","1,77%"
"14/01/2025","6.956,67","7.014,80","7.042,33","6.956,67","15,10B","-0,86%"
"13/01/2025","7.016,88","7.076,70","7.089,57","6.986,59","14,99B","-1,02%"
"10/01/2025","7.088,87","7.076,90","7.121,63","7.074,14","16,62B","0,34%"
"09/01/2025","7.064,59","7.093,25","7.106,46","7.062,10","14,85B","-0,22%"
"08/01/2025","7.080,35","7.099,66","7.129,29","7.046,17","14,71B","-0,04%"
"07/01/2025","7.083,28","7.074,26","7.103,19","7.029,51","14,47B","0,04%"
"06/01/2025","7.080,47","7.176,12","7.182,02","7.073,95","19,22B","-1,17%"
"03/01/2025","7.164,43","7.177,25","7.197,01","7.135,28","18,29B","0,02%"
"02/01/2025","7.163,21","7.092,43","7.163,21","7.088,32","16,18B","1,18%"
"30/12/2024","7.079,90","7.026,78","7.079,90","6.993,07","15,97B","0,62%"
"27/12/2024","7.036,57","7.073,38","7.100,27","7.024,71","14,43B","-0,41%"
"24/12/2024","7.065,75","7.115,64","7.120,58","7.063,75","11,06B","-0,43%"
"23/12/2024","7.096,44","7.037,53","7.096,44","7.035,73","13,87B","1,61%"
"20/12/2024","6.983,87","6.980,17","7.032,40","6.931,58","14,57B","0,09%"
"19/12/2024","6.977,24","7.034,62","7.040,55","6.951,05","17,09B","-1,84%"
"18/12/2024","7.107,88","7.168,97","7.216,88","7.105,07","12,24B","-0,70%"
"17/12/2024","7.157,73","7.238,17","7.263,31","7.132,06","15,74B","-1,39%"
"16/12/2024","7.258,63","7.304,22","7.320,79","7.204,65","18,65B","-0,90%"
"13/12/2024","7.324,79","7.379,75","7.399,90","7.324,79","12,01B","-0,94%"
"12/12/2024","7.394,24","7.441,97","7.470,89","7.380,03","14,77B","-0,94%"
"11/12/2024","7.464,75","7.444,86","7.530,56","7.444,17","23,55B","0,15%"
"10/12/2024","7.453,29","7.448,77","7.457,81","7.396,79","20,33B","0,21%"
"09/12/2024","7.437,73","7.382,61","7.440,98","7.380,66","23,01B","0,74%"
"06/12/2024","7.382,79","7.302,67","7.382,81","7.287,60","13,02B","0,95%"
"05/12/2024","7.313,31","7.326,02","7.338,60","7.283,50","13,14B","-0,18%"
"04/12/2024","7.326,76","7.198,10","7.328,32","7.187,48","16,64B","1,82%"
"03/12/2024","7.196,02","7.104,93","7.196,02","7.102,22","17,63B","2,11%"
"02/12/2024","7.046,99","7.117,75","7.153,03","7.041,34","16,39B","-0,95%"
